iter	RMSE
0	14.50688328
1	14.04431649
2	13.62684602
3	13.22436249
4	12.78971813
5	12.38735516
6	12.02029004
7	11.66965431
8	11.36993852
9	11.11497638
10	10.84796848
11	10.54637517
12	10.27623267
13	10.00097457
14	9.747550099
15	9.511676402
16	9.317553064
17	9.081136815
18	8.872904528
19	8.687496274
20	8.524839733
21	8.370295739
22	8.190790352
23	8.046732294
24	7.92530202
25	7.780895651
26	7.637833496
27	7.51827384
28	7.382038404
29	7.266989156
30	7.160718613
31	7.051662676
32	6.945916228
33	6.864072528
34	6.782582754
35	6.704480871
36	6.627339585
37	6.561662406
38	6.499160608
39	6.425271217
40	6.375747806
41	6.314870215
42	6.250718673
43	6.196690751
44	6.143585953
45	6.092708565
46	6.053649665
47	6.005967358
48	5.965292566
49	5.927239085
50	5.893306806
51	5.856617274
52	5.82617732
53	5.796013746
54	5.761444913
55	5.734923862
56	5.703735957
57	5.6774055
58	5.650494771
59	5.625387271
60	5.596519696
61	5.57522492
62	5.552146582
63	5.535475551
64	5.517161874
65	5.504798914
66	5.490282125
67	5.468852318
68	5.454178057
69	5.439809136
70	5.422939852
71	5.406340279
72	5.395386439
73	5.376643396
74	5.359499618
75	5.341109677
76	5.327108247
77	5.316597338
78	5.308862879
79	5.293419021
80	5.279254879
81	5.268548196
82	5.257952419
83	5.247502374
84	5.235400715
85	5.227187773
86	5.217631741
87	5.21191706
88	5.203150806
89	5.194982688
90	5.189149585
91	5.18284994
92	5.174038896
93	5.168400604
94	5.162304185
95	5.157864008
96	5.148628167
97	5.144722313
98	5.13744268
99	5.131344163
100	5.125106509
101	5.119181859
102	5.113860442
103	5.110590453
104	5.106373868
105	5.101341808
106	5.09555658
107	5.091222579
108	5.085467425
109	5.079737368
110	5.07167432
111	5.066796486
112	5.060839881
113	5.055950412
114	5.05329454
115	5.048058891
116	5.040602878
117	5.032881589
118	5.025009749
119	5.018318146
120	5.011516129
121	5.009163605
122	5.007180249
123	5.003262535
124	4.99626774
125	4.989673554
126	4.983205337
127	4.977473626
128	4.971406177
129	4.965310477
130	4.961015463
131	4.955264265
132	4.950238477
133	4.946631596
134	4.939785272
135	4.934038528
136	4.92821975
137	4.922939204
138	4.918619243
139	4.915153794
140	4.909981574
141	4.905609998
142	4.902232785
143	4.896991961
144	4.890930777
145	4.882862082
146	4.877211343
147	4.871819407
148	4.867171071
149	4.863869642
150	4.859626641
151	4.855079291
152	4.851093422
153	4.842417347
154	4.839825685
155	4.837577815
156	4.831916033
157	4.827902429
158	4.823334209
159	4.817118636
160	4.814190621
161	4.812954476
162	4.809204247
163	4.803547333
164	4.802911201
165	4.794504273
166	4.791672882
167	4.787082196
168	4.784777446
169	4.781150583
170	4.775879069
171	4.76882116
172	4.764889379
173	4.756506473
174	4.753219612
175	4.750883984
176	4.748600415
177	4.742021597
178	4.739740486
179	4.734263333
180	4.731438748
181	4.72638112
182	4.725716426
183	4.723353461
184	4.722953308
185	4.718239707
186	4.717062848
187	4.713038673
188	4.709185159
189	4.706663122
190	4.705471763
191	4.7024134
192	4.70138557
193	4.700500196
194	4.69730317
195	4.696739455
196	4.696383433
197	4.692492615
198	4.689144509
199	4.680683239
