iter	Passed	Remaining
0	0	180
1	1	177
2	2	167
3	3	161
4	3	155
5	4	149
6	5	145
7	5	142
8	6	141
9	7	139
10	8	137
11	8	136
12	9	134
13	10	135
14	10	134
15	11	133
16	12	131
17	13	133
18	13	132
19	14	130
20	15	129
21	15	127
22	16	126
23	17	126
24	17	125
25	18	124
26	19	123
27	20	123
28	20	123
29	21	122
30	22	122
31	23	121
32	23	120
33	24	119
34	25	118
35	25	117
36	26	117
37	27	116
38	27	115
39	28	114
40	29	113
41	30	113
42	30	112
43	31	111
44	32	110
45	33	110
46	33	109
47	34	108
48	35	108
49	35	107
50	36	106
51	37	105
52	37	105
53	38	104
54	39	103
55	40	103
56	40	102
57	41	102
58	42	101
59	42	100
60	43	99
61	44	98
62	45	98
63	45	97
64	46	96
65	46	95
66	47	94
67	48	93
68	49	93
69	49	92
70	50	91
71	51	91
72	51	90
73	52	89
74	53	88
75	54	88
76	54	87
77	55	86
78	56	86
79	56	85
80	57	84
81	58	83
82	59	83
83	60	83
84	61	82
85	62	82
86	62	81
87	63	81
88	64	80
89	65	79
90	66	79
91	66	78
92	67	77
93	68	77
94	69	76
95	69	75
96	70	75
97	71	74
98	72	73
99	72	72
100	73	72
101	74	71
102	74	70
103	75	69
104	75	68
105	76	67
106	77	67
107	77	66
108	78	65
109	79	65
110	80	64
111	80	63
112	81	62
113	82	62
114	83	61
115	83	60
116	84	59
117	85	59
118	85	58
119	86	57
120	87	56
121	87	56
122	88	55
123	89	54
124	89	53
125	90	53
126	91	52
127	91	51
128	92	50
129	93	50
130	93	49
131	94	48
132	95	47
133	95	47
134	96	46
135	97	45
136	97	45
137	98	44
138	99	43
139	99	42
140	100	42
141	101	41
142	102	40
143	102	39
144	103	39
145	104	38
146	105	37
147	105	37
148	106	36
149	107	35
150	108	35
151	108	34
152	109	33
153	110	32
154	111	32
155	112	31
156	112	30
157	113	30
158	114	29
159	115	28
160	116	28
161	116	27
162	117	26
163	118	25
164	119	25
165	119	24
166	120	23
167	121	23
168	121	22
169	122	21
170	123	20
171	124	20
172	124	19
173	125	18
174	126	18
175	127	17
176	128	16
177	129	15
178	130	15
179	130	14
180	131	13
181	132	13
182	133	12
183	134	11
184	135	10
185	136	10
186	137	9
187	137	8
188	138	8
189	139	7
190	139	6
191	140	5
192	141	5
193	142	4
194	142	3
195	143	2
196	144	2
197	145	1
198	146	0
199	146	0
